Bestandsnaam	Freq.	Percent	Cum.	Popularity
GBAPERSOONTAB	449	3.33	3.33	high
GBAADRESOBJECTBUS	395	2.93	6.26	high
HOOGSTEOPLTAB	386	2.86	9.12	high
SPOLISBUS	348	2.58	11.7	high
INHATAB	337	2.5	14.2	high
INPATAB	317	2.35	16.55	high
GBAHUISHOUDENSBUS	303	2.25	18.8	high
VSLGWBTAB	245	1.82	20.62	high
KINDOUDERTAB	239	1.77	22.39	high
SECMBUS	220	1.63	24.02	high
GBAOVERLIJDENTAB	210	1.56	25.58	high
GBAPERSOONKTAB	198	1.47	27.05	high
VEHTAB	189	1.4	28.45	high
NIETVSLGWBTAB	185	1.37	29.82	high
MEDICIJNTAB	167	1.24	31.06	high
DOODOORZTAB	149	1.11	32.17	high
ABR	139	1.03	33.2	high
POLISBUS	137	1.02	34.22	high
BETAB	132	0.98	35.2	medium
IPI	131	0.97	36.17	medium
ONDERWIJSINSCHRTAB	130	0.96	37.13	medium
IHI	130	0.96	38.09	medium
KOPPELPERSOONHUISHOUDEN	120	0.89	38.98	medium
ZVWZORGKOSTENTAB	115	0.85	39.83	medium
GBAMIGRATIEBUS	99	0.73	40.56	medium
DO	93	0.69	41.25	medium
EBBNW	86	0.64	41.89	medium
VSLPOSTCODEBUS	77	0.57	42.46	medium
INSCHRWPOTAB	77	0.57	43.03	medium
LBZBASISTAB	74	0.55	43.58	medium
GBABURGERLIJKESTAATBUS	74	0.55	44.13	medium
VSLGTAB	72	0.53	44.66	medium
BAANKENMERKENBUS	67	0.5	45.16	low
ONDERWIJSDEELNEMERSTAB	65	0.48	45.64	low
MSZPRESTATIESVEKTTAB	63	0.47	46.11	low
VERDTAB	61	0.45	46.56	low
GEBWLZTAB	60	0.45	47.01	low
EIGENDOMWOZBAGTAB	58	0.43	47.44	low
NFO	57	0.42	47.86	low
LBZDIAGNOSENTAB	57	0.42	48.28	low
GEMEENTESTPLTAB	56	0.42	48.7	low
GBANATIONALITEITBUS	56	0.42	49.12	low
MSZZORGACTIVITEITENVEKTTAB	55	0.41	49.53	low
EIGENDOMTAB	55	0.41	49.94	low
CITOTAB	55	0.41	50.35	low
PARTNERBUS	54	0.4	50.75	low
EXAMVOTAB	54	0.4	51.15	low
DIPLOMAHOTAB	53	0.39	51.54	low
BAGWOZTAB	53	0.39	51.93	low
MSZSUBTRAJECTENTAB	52	0.39	52.32	low
GBAVERBINTENISPARTNERBUS	52	0.39	52.71	low
SESWOA	51	0.38	53.09	low
BAANSOMMENTAB	49	0.36	53.45	low
JGDHULPBUS	48	0.36	53.81	low
LEVCYCLWOONNIETWOONBUS	47	0.35	54.16	low
LBZBASISTAB2021	47	0.35	54.51	low
DIPLOMAMBOTAB	46	0.34	54.85	low
NIETVSLGTAB	45	0.33	55.18	low
FAMILIENETWERKTAB	45	0.33	55.51	low
MIGMOTIEFBUS	43	0.32	55.83	low
LBZDIAGNOSENTAB2021	43	0.32	56.15	low
GEMON	43	0.32	56.47	low
LMR_BASIS	42	0.31	56.78	low
EBB	42	0.31	57.09	low
INDICWLZTAB	41	0.3	57.39	low
BIJSTANDPERSOONBUS	41	0.3	57.69	low
SPOLISLONGBAANTAB	40	0.3	57.99	low
GEBWMOTAB	39	0.29	58.28	low
ZELFSTANDIGENTAB	38	0.28	58.56	low
WMOBUS	38	0.28	58.84	low
GEZONDHEIDSENQUETE	38	0.28	59.12	low
GEMSTPLBUS	38	0.28	59.4	low
VSVTAB	37	0.27	59.67	low
MSZGELEVERDZORGPROFIELTAB	37	0.27	59.94	low
JGDBESCHERMBUS	37	0.27	60.21	low
INSCHRWECTAB	37	0.27	60.48	low
GECON	36	0.27	60.75	low
AOTOTUITKERINGTAB	36	0.27	61.02	low
AOTOTUITKERINGATAB	36	0.27	61.29	low
AOTOTPERSOONBUS	36	0.27	61.56	low
WWPERSOONBUS	35	0.26	61.82	low
VTVPERSOONTAB	35	0.26	62.08	low
GGZDBCTRAJECTENHOOFDDIAGTAB	35	0.26	62.34	low
VSLCOORDTAB	34	0.25	62.59	low
LBZBASISTAB2022	34	0.25	62.84	low
GEZO	34	0.25	63.09	low
BRINADRESSEN	34	0.25	63.34	low
WOONBASEPOPULATIEPERSONEN	33	0.24	63.58	low
WOONBASEEKHUISHOUDENSWL	33	0.24	63.82	low
WOONBASEPOPULATIEHUISHOUDENS	32	0.24	64.06	low
LMR_DIAGN	32	0.24	64.3	low
WSNPPERSBUS	31	0.23	64.53	low
RKTKINDERENTAB	31	0.23	64.76	low
NIETGBAPERSOONTAB	31	0.23	64.99	low
LISS	31	0.23	65.22	low
GGZDBCTRAJECTENTAB	31	0.23	65.45	low
GBAADRESBUS	31	0.23	65.68	low
WOONBASEEKHUISHOUDENSWV	30	0.22	65.9	low
NEA	30	0.22	66.12	low
JGDRECLASBUS	30	0.22	66.34	low
INDICAWBZTAB	30	0.22	66.56	low
GBASAMENWONERBUS	30	0.22	66.78	low
ENERGIEVERBRUIKTAB	30	0.22	67.0	low
BIJSTANDUITKERINGTAB	30	0.22	67.22	low
WOONBASEKENMERKENWOONRUIMTEN	29	0.22	67.44	low
WANBZVWTAB	29	0.22	67.66	low
RKTONTVANGERSTAB	29	0.22	67.88	low
STUDERENDENBUS	28	0.21	68.09	low
LBZDIAGNOSENTAB2022	28	0.21	68.3	low
BTW	28	0.21	68.51	low
BDK	28	0.21	68.72	low
WOONBASEPOPULATIEWOONRUIMTEN	27	0.2	68.92	low
SPOLISHOOFDBAANBUS	27	0.2	69.12	low
SECMZLFMNDBEDRAGBUS	27	0.2	69.32	low
SECMWERKNDGAMNDBEDRAGBUS	27	0.2	69.52	low
SECMPENSIOENMNDBEDRAGBUS	27	0.2	69.72	low
RDWNPACTTAB	27	0.2	69.92	low
MSZPRESTATIESVEKTTAB2021	27	0.2	70.12	low
MSZPRESTATIESVEKTTAB2020	27	0.2	70.32	low
GGZDBCDIAGNOSEHOOFDDIAGTAB	27	0.2	70.52	low
BURENNETWERKTAB	27	0.2	70.72	low
ABR_Regio	27	0.2	70.92	low
PS_INDUSTRIE	26	0.19	71.11	low
NEA2014-2023	26	0.19	71.3	low
NCOTOOL	26	0.19	71.49	low
HDIPLOMAREGTAB	26	0.19	71.68	low
EIGENDOMWOZTAB	26	0.19	71.87	low
WUSUITKERING1ATAB	25	0.19	72.06	low
NEA2014-2022	25	0.19	72.25	low
MSZZORGACTIVITEITENVEKTTAB2020	25	0.19	72.44	low
KLASGENOTENNETWERKTAB	25	0.19	72.63	low
HUISGENOTENNETWERKTAB	25	0.19	72.82	low
HALTTAB	25	0.19	73.01	low
GGZDBCZRGPROFIELHOOFDDIAGTAB	25	0.19	73.2	low
GEMON2022	25	0.19	73.39	low
GEDETINEERDENTAB	25	0.19	73.58	low
GBAADRESGEBEURTENISBUS	25	0.19	73.77	low
EXAMVOVAKTAB	25	0.19	73.96	low
COLLEGANETWERKTAB	25	0.19	74.15	low
ZVWWVPTAB	24	0.18	74.33	low
WOON	24	0.18	74.51	low
SECMWERKLMNDBEDRAGBUS	24	0.18	74.69	low
SECMSBIBUS	24	0.18	74.87	low
POLISLONGBAANTAB	24	0.18	75.05	low
MSZZORGACTIVITEITENVEKTTAB2021	24	0.18	75.23	low
IPOREVA	24	0.18	75.41	low
INPBEIDTAB	24	0.18	75.59	low
ZORGMVTAB	23	0.17	75.76	low
VSLGWTAB	23	0.17	75.93	low
SECMZIEKTEAOMNDBEDRAGBUS	23	0.17	76.1	low
SECMOVACTMNDBEDRAGBUS	23	0.17	76.27	low
SECMBIJSTMNDBEDRAGBUS	23	0.17	76.44	low
NIETGBANATIONALITEITBUS	23	0.17	76.61	low
INTEGRAAL_VERMOGENSBESTAND	23	0.17	76.78	low
BRINTAB	23	0.17	76.95	low
BESTAANDEKOOPWONINGEN	23	0.17	77.12	low
UITSTROOMRECHTERTAB	22	0.16	77.28	low
TRANSACTIES_KOOPWONINGEN	22	0.16	77.44	low
KOPPELTABELZELFSTANDIGEN	22	0.16	77.6	low
GBASTANDBEVOLKINGTAB	22	0.16	77.76	low
BRINWPOWECTAB	22	0.16	77.92	low
SECMSOCVOORZOVMNDBEDRAGBUS	21	0.16	78.08	low
SCHTAB	21	0.16	78.24	low
GGZDBCDIAGNOSETAB	21	0.16	78.4	low
GGDCOVID19BM	21	0.16	78.56	low
GEBZZVTAB	21	0.16	78.72	low
WLZZINTAB	20	0.15	78.87	low
VRLGBAHUISHOUDENSBUS	20	0.15	79.02	low
VRLGBAGEBOORTEGEMEENTETAB	20	0.15	79.17	low
VRKTAB	20	0.15	79.32	low
UITSTROOMOMTAB	20	0.15	79.47	low
ONDERWIJSPERSONEELTAB	20	0.15	79.62	low
MSZOVERIGEZORGPRODUCTENTAB	20	0.15	79.77	low
LMR_VERRICHT	20	0.15	79.92	low
KINDEROPVANG	20	0.15	80.07	low
GEZOextrasportenbeweegvariabelen	20	0.15	80.22	low
GEMSTPLAATSBUS	20	0.15	80.37	low
GECONextrasportenbeweegvariabelen	20	0.15	80.52	low
ENERGIELABELCERTIFICATENTAB	20	0.15	80.67	low
CIMS	20	0.15	80.82	low
VRLGBAADRESOBJECTBUS	19	0.14	80.96	low
SECMDTFBUS	19	0.14	81.1	low
PGBWLZWMOJWTAB	19	0.14	81.24	low
GBAMIGRATIEGEBEURTENISBUS	19	0.14	81.38	low
